date,ppo_price_sentiment,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2023-05-03,1001278.4117384491,1133004.7104933872,1131758.8503956732,1012471.5924748759,923281.9132856324
2023-05-04,988189.5947828827,1130145.0403639944,1128960.497485378,1011300.6256676349,914973.7399704763
2023-05-05,983705.7008314667,1142327.0521965218,1141219.2410239084,1019196.6416953771,928091.7215546934
2023-05-08,987038.3151503144,1138555.8241416481,1137541.5566309309,1016315.7523075128,928091.7215546934
2023-05-09,984796.0143080292,1134174.1585287764,1133207.938079411,1011639.6887560167,926123.9940176927
2023-05-10,977160.9890394745,1133826.2026197244,1132549.623179254,1012472.171562799,926561.5168937157
2023-05-11,980796.7153578339,1132077.742765305,1130486.2630827064,1006606.0617607224,918471.9318773246
2023-05-12,976797.4164076386,1128004.0360985745,1126340.5363884144,1003294.7365502809,907758.7678580148
2023-05-15,975524.9121962128,1126897.254264011,1125080.3529716674,1003675.3791724214,909508.0802354971
2023-05-16,968071.3699293671,1114709.6775358366,1113004.2844980482,995569.888828766,892892.0798836781
2023-05-17,966799.067927414,1110404.0980352026,1108921.8004778489,987708.5570015255,890924.3523466774
2023-05-18,964678.3960829315,1104481.247902889,1102964.8967629245,983147.9826476155,886551.7206751461
2023-05-19,961587.8265028534,1112170.8914381403,1110152.6352541554,991907.6997203671,889612.3897059715
2023-05-22,964193.2955580292,1113256.265039402,1114438.9661829507,984039.8043955899,896390.1852209031
2023-05-23,959003.7916517792,1110699.0979655108,1113947.858669776,971138.7681350827,889175.2996780649
2023-05-24,958637.5902967987,1103446.7475944255,1105170.7869692796,955263.8065068237,881741.8258364616
2023-05-25,957721.5813856659,1086235.79010261,1087465.774269531,939721.0879097446,867967.9927863264
2023-05-26,943984.5819654999,1080433.2986713308,1081890.1335074892,943300.5400973224,865344.4137834077
2023-05-30,943618.2795057831,1074099.6027501903,1075738.8262971148,942357.2395572251,854850.0977717325
2023-05-31,943740.2118177948,1083265.994204226,1085891.8942738436,942357.2395572251,862502.246481724
2023-06-01,947953.0439711151,1077891.1021456306,1079928.464025627,942357.2395572251,865344.4137834077
2023-06-02,944778.051936203,1092761.9096061816,1095091.6366886909,942357.2395572251,884146.8165406155
2023-06-05,959614.2620497284,1099011.1776694446,1101636.993956903,948531.9034787382,886770.3089739111
2023-06-06,967856.6234694062,1086215.8457689788,1090105.248600627,941660.185843393,892236.2284177601
2023-06-07,967001.7829237519,1088099.939209182,1093046.7872028684,954421.8520258309,896390.1852209031
2023-06-08,969077.4631605683,1100178.1445663439,1104401.3267137203,959330.2534788118,897264.6249855862
2023-06-09,979700.8411207733,1098149.2625227203,1101957.3635652154,955188.4691617505,886114.457507993
2023-06-12,978174.6651259003,1099301.924053216,1104269.757264426,965291.4213920534,892892.0798836781
2023-06-13,977502.9252577362,1100852.7964662102,1107127.0260659365,960360.7232939599,905354.0368627307
2023-06-14,982631.665217453,1093280.5561907543,1099057.2982841176,955074.8829133911,903823.6590625064
2023-06-15,987637.9673414765,1102229.6060991038,1108758.9574532462,966793.8956344231,913880.7119070283
2023-06-16,1000886.731989914,1109304.4107614944,1116452.0638562683,971364.3309279444,914755.1516717114
2023-06-20,1003939.1850843964,1103407.212921521,1109444.3321882973,963839.1490186279,919009.2695289816
2023-06-21,1003328.8157911835,1100927.9341577333,1105824.819105942,957577.9263951519,919009.2695289816
2023-06-22,1001802.4375868378,1108548.3976539625,1112377.9935540818,963255.4292801745,919228.5503847328
2023-06-23,1012425.7144423065,1099453.8456883328,1102796.4857959165,961262.3173557034,905194.4890470381
2023-06-26,1011571.0761061249,1086155.9031640866,1088369.9804400145,950072.327857989,890721.8659978413
